date,revenue
3/4/2011,614.4037603
2/28/2010,556.1882783
10/30/2011,582.9525279
9/8/2011,436.5685607
6/21/2010,251.1846366
3/3/2010,352.8266896
4/6/2011,459.9308884
7/22/2010,403.7679329
3/24/2010,366.6089095
6/20/2011,233.8127637
8/14/2011,403.5665794
5/26/2010,438.6797976
5/30/2011,319.5433446
2/14/2010,540.3976221
9/25/2011,541.788647
8/23/2011,330.1703877
10/23/2011,575.4562174
3/8/2011,448.2968771
1/14/2010,443.7051592
9/12/2010,467.8319773
1/17/2011,427.5590457
1/9/2010,255.2531491
3/26/2011,306.1451826
6/15/2010,494.0781808
10/20/2010,468.8180038
10/17/2011,243.8694904
6/1/2011,436.6359973
1/28/2010,550
7/18/2010,574.7336566
6/22/2010,360.9579964
7/2/2010,317.7744774
4/7/2011,365.2024283
5/4/2010,325.5215216
3/8/2010,467.4687804
8/10/2011,433.1136171
11/1/2010,416.4799969
7/9/2010,459.4676407
5/13/2011,351.2944039
10/3/2011,367.4475475
3/30/2011,235.7188558
12/12/2010,435.5555023
7/6/2010,269.62482
3/2/2010,258.361609
8/25/2010,345.1631641
11/29/2011,220.8603489
9/1/2010,373.4870198
3/20/2010,436.1836519
1/15/2010,415.5165043
7/3/2011,565.0545701
11/19/2010,471.5935509
4/20/2010,408.0429457
2/5/2011,619.5665761
4/16/2010,381.6263779
1/2/2011,503.8648753
12/25/2011,326.012603
11/20/2010,560.3272428
12/15/2010,498.5996974
3/23/2011,513.6691722
6/7/2011,361.5037409
6/29/2010,538.4317999
9/21/2010,533.0407996
2/8/2010,318.4517102
11/13/2010,473.5742338
12/13/2011,72.89849654
10/14/2011,392.5452089
7/13/2010,418.4602119
1/25/2010,469.2599974
10/21/2010,514.1949414
4/14/2011,398.8723626
1/30/2011,435.4394324
6/13/2010,505.1968589
6/4/2011,606.6312408
11/23/2010,115.8778983
5/2/2011,412.2822084
3/10/2010,400.9272365
8/20/2011,446.8238517
12/3/2010,355.1729946
11/10/2010,273.4353245
8/1/2011,354.7864535
9/9/2010,378.6743358
4/10/2011,473.0887685
3/12/2010,397.2004735
2/11/2011,543.7182841
2/16/2011,414.3853496
5/15/2011,488.1206257
8/29/2010,289.010155
7/16/2011,405.7900532
11/5/2011,582.1835697
6/22/2011,350.5188521
6/12/2011,379.9714985
3/24/2011,354.5860336
11/30/2011,407.840676
12/19/2010,463.6623043
4/23/2011,565.0374524
11/1/2011,403.8835145
1/31/2011,439.8732822
8/5/2010,389.9772406
3/28/2010,472.1036781
10/9/2011,489.1662165
11/17/2011,411.2535526
12/28/2010,463.5831042
3/20/2011,440.7767532
8/12/2010,343.0978964
10/28/2011,563.3473189
9/25/2010,523.8676559
8/23/2010,112.0597714
9/21/2011,498.4112928
9/8/2010,240.1422877
4/14/2010,376.8666628
4/11/2010,556.0247575
6/30/2011,311.2710755
9/6/2011,271.5699034
3/1/2011,333.014082
8/28/2010,316.8199243
5/25/2011,504.857866
2/19/2011,604.8753032
12/27/2011,248.9164053
12/31/2010,178.8788311
11/14/2010,565.507381
1/28/2011,72.81460134
10/5/2010,331.6875619
10/11/2011,275.580448
4/29/2011,526.457564
11/19/2011,513.9030664
4/25/2010,409.5680367
10/16/2010,630.4576797
1/5/2010,285.251026
7/27/2011,345.0081765
10/7/2011,271.5365729
1/27/2011,506.8776712
10/26/2011,379.2503759
3/30/2010,553.0480035
11/22/2010,436.237016
11/3/2010,321.3451223
6/26/2010,461.4325734
7/17/2010,460.8853718
9/11/2010,480.7693795
7/14/2010,440.285323
11/29/2010,455.1884597
6/10/2011,485.3727465
3/16/2011,408.7159395
7/24/2010,386.4422398
1/30/2010,485.8035736
6/24/2010,170.5898566
1/6/2010,465.497682
2/4/2011,350.7374334
11/7/2011,180.2683214
5/29/2010,162.6993635
9/23/2011,203.0057427
3/11/2011,414.5323171
12/6/2011,504.6342907
7/12/2011,391.5348494
3/6/2010,540.1332284
8/15/2011,223.4520803
4/19/2010,455.1473911
1/21/2010,406.491765
9/14/2011,365.1930446
8/11/2010,360.3092847
8/31/2011,361.386813
4/17/2010,620.56982
5/19/2010,341.4613933
5/17/2011,311.5653702
5/12/2011,171.9185397
8/17/2010,582.3520689
3/21/2010,423.8778154
7/23/2011,478.3087603
10/10/2011,378.2946768
4/28/2010,325.7936831
5/14/2010,430.9568969
11/21/2010,428.854293
9/2/2011,254.1273489
7/21/2011,198.476707
4/7/2010,503.4579993
9/2/2010,409.0635594
9/18/2010,473.1968157
4/26/2011,467.733603
5/23/2010,449.3554716
6/13/2011,324.6213644
2/7/2011,393.3524918
8/22/2011,512.0727908
3/16/2010,512.03386
9/13/2010,284.8818956
12/4/2010,437.3505064
5/11/2010,407.8180919
12/14/2011,612.9459491
5/7/2010,444.7796012
5/8/2010,514.180877
5/22/2010,647.1025573
9/22/2010,359.2378996
10/6/2011,151.1233512
6/23/2010,353.1340652
8/26/2010,379.0032568
11/9/2011,365.8276415
8/2/2011,462.727225
9/16/2010,507.4992433
8/14/2010,402.990664
8/9/2010,350.1411402
3/22/2011,485.8451751
12/23/2011,295.7131511
8/31/2010,377.3739415
9/3/2010,421.4641939
11/6/2010,476.8325994
12/21/2010,216.9523315
7/9/2011,618.7180535
12/29/2010,353.2424704
6/9/2010,459.4224201
10/24/2011,403.1957426
1/11/2010,407.7688064
4/26/2010,538.9907965
6/11/2011,318.49223
8/18/2010,358.5938582
5/29/2011,538.5875611
12/7/2010,523.6977974
5/1/2011,676.3817511
6/14/2010,491.2404767
6/14/2011,289.5989085
9/26/2010,537.023638
4/6/2010,316.675981
7/19/2011,373.1101141
10/18/2010,423.4198569
7/25/2011,370.3556767
1/9/2011,548.594442
